Year,month,sun_hr
1936,1,49.60000000000001
1936,2,81.0
1936,3,86.0
1936,4,126.79999999999998
1936,5,176.99999999999994
1936,6,182.79999999999998
1936,7,120.9
1936,8,181.19999999999996
1936,9,84.4
1936,10,97.10000000000001
1936,11,46.30000000000001
1936,12,59.699999999999996
1937,1,44.4
1937,2,64.4
1937,3,104.49999999999999
1937,4,95.30000000000001
1937,5,158.29999999999998
1937,6,187.59999999999997
1937,7,126.10000000000002
1937,8,187.09999999999997
1937,9,138.7
1937,10,78.3
1937,11,69.3
1937,12,24.1
1938,1,47.1
1938,2,67.0
1938,3,176.60000000000005
1938,4,157.10000000000002
1938,5,161.40000000000003
1938,6,203.1
1938,7,143.40000000000003
1938,8,151.10000000000005
1938,9,120.00000000000001
1938,10,117.69999999999999
1938,11,68.9
1938,12,45.400000000000006
1939,1,45.7
1939,2,106.0
1939,3,95.60000000000001
1939,4,164.8
1939,5,159.1
1939,6,205.2
1939,7,157.5
1939,8,151.7
1939,9,142.0
1939,10,89.99999999999997
1939,11,38.0
1939,12,44.20000000000001
1940,1,86.69999999999999
1940,2,22.5
1940,3,127.09999999999998
1940,4,124.0
1940,5,224.8
1940,6,267.9
1940,7,189.79999999999998
1940,8,191.1
1940,9,170.9
1940,10,93.89999999999999
1940,11,76.6
1940,12,41.2
1941,1,41.099999999999994
1941,2,61.4
1941,3,109.3
1941,4,95.50000000000003
1941,5,131.2
1941,6,200.99999999999997
1941,7,226.29999999999998
1941,8,165.7
1941,9,105.2
1941,10,108.30000000000001
1941,11,37.1
1941,12,47.599999999999994
1942,1,42.7
1942,2,39.0
1942,3,72.80000000000001
1942,4,221.40000000000003
1942,5,193.6
1942,6,226.49999999999997
1942,7,155.1
1942,8,147.20000000000002
1942,9,121.30000000000001
1942,10,85.40000000000002
1942,11,66.6
1942,12,44.5
1943,1,49.300000000000004
1943,2,78.6
1943,3,137.3
1943,4,156.40000000000003
1943,5,244.99999999999997
1943,6,206.69999999999996
1943,7,192.60000000000002
1943,8,175.9
1943,9,146.5
1943,10,94.90000000000002
1943,11,74.9
1943,12,53.99999999999999
1944,1,47.300000000000004
1944,2,51.099999999999994
1944,3,112.39999999999999
1944,4,137.2
1944,5,230.00000000000003
1944,6,171.89999999999998
1944,7,118.09999999999998
1944,8,197.0999999999999
1944,9,138.59999999999997
1944,10,89.00000000000001
1944,11,58.5
1944,12,66.79999999999998
1945,1,49.2
1945,2,69.80000000000001
1945,3,151.90000000000003
1945,4,179.50000000000003
1945,5,168.49999999999997
1945,6,200.9
1945,7,181.1
1945,8,146.99999999999994
1945,9,66.5
1945,10,105.69999999999999
1945,11,40.699999999999996
1945,12,50.3
1946,1,65.10000000000001
1946,2,78.7
1946,3,99.00000000000001
1946,4,203.49999999999997
1946,5,168.0
1946,6,154.89999999999998
1946,7,218.49999999999997
1946,8,150.99999999999994
1946,9,109.79999999999998
1946,10,85.1
1946,11,42.29999999999999
1946,12,73.40000000000002
1947,1,70.8
1947,2,33.6
1947,3,68.8
1947,4,161.7
1947,5,185.70000000000002
1947,6,201.70000000000005
1947,7,157.50000000000003
1947,8,271.4
1947,9,163.9
1947,10,107.3
1947,11,73.89999999999998
1947,12,26.999999999999996
1948,1,40.2
1948,2,87.30000000000001
1948,3,156.0
1948,4,210.20000000000005
1948,5,228.1
1948,6,152.0
1948,7,184.60000000000002
1948,8,133.2
1948,9,140.40000000000003
1948,10,90.60000000000001
1948,11,61.60000000000001
1948,12,49.10000000000001
1949,1,55.099999999999994
1949,2,116.4
1949,3,105.0
1949,4,188.89999999999998
1949,5,205.9
1949,6,224.39999999999998
1949,7,225.89999999999995
1949,8,220.89999999999998
1949,9,155.29999999999998
1949,10,125.80000000000003
1949,11,77.00000000000001
1949,12,57.2
1950,1,36.00000000000001
1950,2,57.599999999999994
1950,3,126.4
1950,4,147.0
1950,5,153.3
1950,6,260.6
1950,7,188.7
1950,8,164.89999999999998
1950,9,115.29999999999998
1950,10,103.59999999999998
1950,11,55.699999999999996
1950,12,40.599999999999994
1951,1,42.6
1951,2,50.20000000000001
1951,3,92.2
1951,4,183.29999999999998
1951,5,134.2
1951,6,249.8
1951,7,193.20000000000002
1951,8,155.79999999999998
1951,9,113.99999999999999
1951,10,106.6
1951,11,59.900000000000006
1951,12,51.60000000000001
1952,1,87.7
1952,2,77.9
1952,3,82.9
1952,4,165.1
1952,5,211.89999999999998
1952,6,219.3
1952,7,180.4
1952,8,178.40000000000006
1952,9,119.7
1952,10,100.10000000000002
1952,11,65.39999999999999
1952,12,60.8
1953,1,39.9
1953,2,64.4
1953,3,132.3
1953,4,159.29999999999998
1953,5,208.99999999999994
1953,6,124.9
1953,7,178.2
1953,8,204.5
1953,9,156.59999999999997
1953,10,69.30000000000001
1953,11,49.6
1953,12,29.799999999999997
1954,1,66.4
1954,2,60.19999999999999
1954,3,98.89999999999999
1954,4,174.6
1954,5,139.80000000000004
1954,6,137.8
1954,7,147.09999999999997
1954,8,122.40000000000002
1954,9,160.20000000000002
1954,10,90.50000000000001
1954,11,52.5
1954,12,52.6
1955,1,34.3
1955,2,77.9
1955,3,149.3
1955,4,172.79999999999998
1955,5,207.99999999999997
1955,6,152.8
1955,7,248.9
1955,8,190.6
1955,9,155.40000000000003
1955,10,121.8
1955,11,42.5
1955,12,51.1
1956,1,52.89999999999999
1956,2,71.8
1956,3,136.90000000000003
1956,4,167.10000000000002
1956,5,229.49999999999994
1956,6,143.29999999999998
1956,7,158.9
1956,8,150.6
1956,9,98.3
1956,10,99.9
1956,11,55.80000000000002
1956,12,12.3
1957,1,54.10000000000001
1957,2,75.10000000000001
1957,3,105.4
1957,4,158.70000000000002
1957,5,196.70000000000002
1957,6,287.7
1957,7,143.20000000000005
1957,8,154.20000000000002
1957,9,111.79999999999998
1957,10,86.0
1957,11,75.99999999999999
1957,12,53.50000000000001
1958,1,56.00000000000001
1958,2,49.699999999999996
1958,3,122.0
1958,4,151.40000000000003
1958,5,192.99999999999997
1958,6,143.00000000000003
1958,7,182.39999999999998
1958,8,123.39999999999998
1958,9,134.59999999999997
1958,10,87.19999999999997
1958,11,42.900000000000006
1958,12,38.400000000000006
1959,1,79.10000000000001
1959,2,61.60000000000001
1959,3,89.1
1959,4,135.4
1959,5,218.99999999999997
1959,6,233.00000000000003
1959,7,276.99999999999994
1959,8,228.8
1959,9,207.60000000000005
1959,10,150.09999999999997
1959,11,65.3
1959,12,30.5
1960,1,36.5
1960,2,85.8
1960,3,59.400000000000006
1960,4,153.50000000000003
1960,5,175.20000000000002
1960,6,260.5
1960,7,144.2
1960,8,163.90000000000006
1960,9,131.9
1960,10,66.10000000000001
1960,11,58.1
1960,12,41.900000000000006
1961,1,44.900000000000006
1961,2,61.20000000000001
1961,3,164.70000000000005
1961,4,93.50000000000001
1961,5,229.70000000000002
1961,6,238.40000000000003
1961,7,192.6
1961,8,176.20000000000002
1961,9,127.4
1961,10,119.49999999999999
1961,11,57.90000000000001
1961,12,75.60000000000001
1962,1,68.8
1962,2,62.199999999999996
1962,3,105.10000000000001
1962,4,130.20000000000002
1962,5,154.39999999999998
1962,6,264.7
1962,7,136.10000000000002
1962,8,158.70000000000002
1962,9,143.40000000000003
1962,10,109.59999999999998
1962,11,26.5
1962,12,86.99999999999999
1963,1,59.0
1963,2,68.3
1963,3,87.29999999999998
1963,4,114.69999999999999
1963,5,188.79999999999998
1963,6,183.0
1963,7,186.20000000000002
1963,8,118.5
1963,9,125.5
1963,10,71.60000000000001
1963,11,44.30000000000002
1963,12,41.2
1964,1,42.5
1964,2,57.7
1964,3,62.000000000000014
1964,4,101.20000000000002
1964,5,195.30000000000004
1964,6,148.2
1964,7,189.50000000000003
1964,8,200.79999999999998
1964,9,194.4
1964,10,119.70000000000002
1964,11,58.499999999999986
1964,12,45.800000000000004
1965,1,77.20000000000003
1965,2,29.200000000000003
1965,3,128.89999999999998
1965,4,113.89999999999998
1965,5,163.59999999999994
1965,6,162.4
1965,7,90.80000000000003
1965,8,168.20000000000005
1965,9,121.5
1965,10,124.80000000000003
1965,11,83.5
1965,12,53.30000000000001
1966,1,35.9
1966,2,29.200000000000003
1966,3,120.39999999999998
1966,4,84.7
1966,5,206.6
1966,6,173.29999999999998
1966,7,139.20000000000002
1966,8,174.20000000000002
1966,9,166.4
1966,10,66.2
1966,11,46.10000000000001
1966,12,32.5
1967,1,54.100000000000016
1967,2,80.8
1967,3,166.10000000000002
1967,4,126.69999999999997
1967,5,154.99999999999997
1967,6,198.69999999999996
1967,7,220.00000000000003
1967,8,152.1
1967,9,108.89999999999996
1967,10,92.99999999999999
1967,11,67.2
1967,12,63.59999999999999
1968,1,38.4
1968,2,43.5
1968,3,134.39999999999998
1968,4,170.09999999999997
1968,5,145.40000000000003
1968,6,151.6
1968,7,135.6
1968,8,111.70000000000002
1968,9,106.7
1968,10,55.599999999999994
1968,11,29.0
1968,12,27.200000000000003
1969,1,27.4
1969,2,71.90000000000002
1969,3,66.4
1969,4,195.29999999999998
1969,5,136.8
1969,6,247.3
1969,7,213.60000000000002
1969,8,123.09999999999995
1969,9,96.0
1969,10,107.20000000000003
1969,11,66.4
1969,12,16.5
1970,1,33.50000000000001
1970,2,106.10000000000001
1970,3,94.8
1970,4,104.60000000000002
1970,5,202.19999999999996
1970,6,261.59999999999997
1970,7,156.39999999999998
1970,8,170.8
1970,9,149.0
1970,10,97.10000000000002
1970,11,52.099999999999994
1970,12,35.699999999999996
1971,1,30.800000000000004
1971,2,74.60000000000002
1971,3,95.49999999999999
1971,4,122.50000000000001
1971,5,227.6
1971,6,131.2
1971,7,222.2
1971,8,130.10000000000002
1971,9,166.49999999999997
1971,10,142.6
1971,11,83.99999999999997
1971,12,25.700000000000003
1972,1,43.800000000000004
1972,2,30.200000000000003
1972,3,149.29999999999998
1972,4,109.3
1972,5,165.5
1972,6,160.29999999999998
1972,7,158.39999999999998
1972,8,165.49999999999997
1972,9,123.89999999999995
1972,10,102.1
1972,11,86.2
1972,12,44.60000000000001
1973,1,30.700000000000003
1973,2,73.39999999999999
1973,3,138.6
1973,4,141.09999999999997
1973,5,181.7
1973,6,257.6
1973,7,165.5
1973,8,197.60000000000002
1973,9,169.2
1973,10,107.80000000000003
1973,11,96.89999999999999
1973,12,57.20000000000001
1974,1,43.0
1974,2,61.599999999999994
1974,3,101.69999999999999
1974,4,146.1
1974,5,196.20000000000002
1974,6,202.39999999999992
1974,7,194.70000000000005
1974,8,185.00000000000003
1974,9,155.70000000000002
1974,10,90.10000000000001
1974,11,45.20000000000001
1974,12,57.70000000000001
1975,1,37.0
1975,2,65.0
1975,3,60.4
1975,4,125.49999999999999
1975,5,162.9
1975,6,289.1
1975,7,232.4
1975,8,232.79999999999993
1975,9,154.6
1975,10,115.09999999999997
1975,11,75.69999999999999
1975,12,37.3
1976,1,63.5
1976,2,40.49999999999999
1976,3,117.89999999999998
1976,4,159.20000000000002
1976,5,195.29999999999998
1976,6,269.3
