year,month,monthly_air_temp
1923,8,15.338709677419354
1924,8,14.175806451612901
1925,8,15.038709677419353
1926,8,15.958064516129033
1927,8,15.429032258064517
1928,8,15.09677419354839
1929,8,15.65967741935484
1930,8,15.746774193548386
1931,8,14.251612903225809
1932,8,17.506451612903223
1933,8,17.94193548387097
1934,8,15.385483870967743
1935,8,16.73225806451613
1936,8,15.77096774193548
1937,8,17.10161290322581
1938,8,16.10483870967742
1939,8,16.07741935483871
1940,8,15.556451612903228
1941,8,14.285483870967742
1942,8,16.472580645161294
1943,8,16.2258064516129
1944,8,17.651612903225807
1945,8,15.67258064516129
1946,8,14.691935483870965
1947,8,18.648387096774186
1948,8,15.033870967741938
1949,8,17.017741935483865
1950,8,15.517741935483867
1951,8,14.825806451612904
1952,8,16.39516129032258
1953,8,16.406451612903226
1954,8,14.553225806451612
1955,8,17.727419354838712
1956,8,13.533870967741931
1957,8,15.553225806451612
1958,8,15.672580645161291
1959,8,17.325806451612902
1960,8,14.764516129032257
1961,8,15.827419354838712
1962,8,14.84032258064516
1963,8,14.120967741935486
1964,8,15.961290322580648
1965,8,14.714516129032257
1966,8,14.659677419354841
1967,8,15.420967741935483
1968,8,15.196774193548384
1969,8,16.217741935483872
1970,8,15.779032258064515
1971,8,15.699999999999996
1972,8,15.083870967741934
1973,8,16.983870967741936
1974,8,15.262903225806452
1975,8,18.693548387096776
1976,8,17.477419354838712
1977,8,15.033870967741937
1978,8,14.964516129032255
1979,8,15.004838709677415
1980,8,16.070967741935487
1981,8,16.285483870967745
1982,8,15.885483870967743
1983,8,17.443548387096783
1984,8,17.60645161290323
1985,8,14.667741935483871
1986,8,14.133870967741938
1987,8,15.398387096774197
1988,8,15.498387096774193
1989,8,16.820967741935483
1990,8,18.182258064516127
1991,8,17.390322580645158
1992,8,15.908064516129034
1993,8,14.811290322580646
1994,8,16.382258064516133
1995,8,19.117741935483874
1996,8,16.572580645161292
1997,8,19.50967741935484
1998,8,16.232258064516127
1999,8,16.499999999999996
2000,8,17.10483870967742
2001,8,17.275806451612905
2002,8,17.41774193548387
2003,8,19.174193548387095
2004,8,18.09354838709677
2005,8,16.14354838709677
2006,8,16.36451612903226
2007,8,15.570967741935485
2008,8,16.57258064516129
2009,8,17.331612903225807
2010,8,15.771838709677414
2011,8,15.801774193548388
2012,8,17.24927419354839
2013,8,17.39048387096774
2014,8,15.692435483870966
2015,8,16.300483870967746
2016,8,17.797096774193548
2017,8,15.994661290322584
2018,8,17.422112903225806
2019,8,17.77008064516129
2020,8,18.551274193548387
2021,8,16.138735903225804
2022,8,19.557009709677416
2023,8,16.712262951612907
1878,9,13.178333333333336
1879,9,12.588333333333335
1880,9,14.788333333333332
1881,9,12.433333333333334
1882,9,11.896551724137929
1883,9,13.023333333333333
1884,9,14.623333333333335
1885,9,12.261666666666665
1886,9,14.021666666666665
1887,9,11.761666666666668
1888,9,12.727586206896548
1889,9,12.408333333333337
1890,9,14.561666666666667
1891,9,14.089999999999998
1892,9,12.58666666666667
1893,9,13.065
1894,9,11.686666666666667
1895,9,15.378333333333334
1896,9,13.270000000000001
1897,9,12.198333333333336
1898,9,15.255
1899,9,13.658333333333335
1900,9,13.651666666666667
1901,9,13.781666666666666
1902,9,12.648333333333332
1903,9,13.285000000000002
1904,9,12.281666666666665
1905,9,12.628333333333332
1906,9,14.036666666666667
1907,9,13.530000000000001
1908,9,12.635000000000002
1909,9,12.104999999999997
1910,9,12.484999999999996
1911,9,14.436666666666667
1912,9,11.149999999999999
1913,9,14.253333333333334
1914,9,13.166666666666664
1915,9,13.083333333333334
1916,9,12.370000000000001
1917,9,13.876666666666665
1918,9,12.148333333333335
1919,9,12.94
1920,9,13.065
1921,9,14.540000000000001
1922,9,11.826666666666666
1923,9,12.443333333333333
1924,9,13.344999999999997
1925,9,11.191666666666666
1926,9,14.599999999999996
1927,9,12.055
1928,9,12.681666666666668
1929,9,16.58
1930,9,13.538333333333332
1931,9,11.280000000000001
1932,9,13.074999999999998
1933,9,15.188333333333334
1934,9,14.601666666666665
1935,9,13.57
1936,9,14.068333333333333
1937,9,12.893333333333334
1938,9,13.743333333333332
1939,9,14.413333333333338
1940,9,12.835000000000003
1941,9,14.295000000000003
1942,9,13.738333333333333
1943,9,13.281666666666665
1944,9,12.443333333333333
1945,9,14.251666666666665
1946,9,13.821666666666667
1947,9,15.263333333333334
1948,9,13.838333333333333
1949,9,16.965
